id,date,like,text,hashtag
luv_rionii,2021-09-28 00:00:00+00:00,영상,☕️ 울 남편이 좋아하는 헬카페 커피 🖤🤍 . . . 12시간,"['#데일리', '#집콕', '#집콕라이프', '#일상', '#일상기록', '#집콕놀이', '#슬기로운집콕생활', '#마켓컬리', '#온더테이블', '#ID_megalaw', '#가을밤', '#커피타임', '#홈카페', '#헬카페', '#헬카페콜드브루', '#콜드브루', '#콜드브루커피', '#육퇴후자유시간', '#stayathome', '#coffeelover', '#homecafe', '#coffeetime', '#coldbrew', '#coldbrewcoffee', '#coffee', '#instadaily', '#☕️']"
17minjung17,2021-09-28 00:00:00+00:00,영상,"아직도 나의 일기는 추석연휴에 머물러있네. 하지만 드디어 이게 연휴 나들이피드 정리는 마지막이구나 야호 ㆍ 갈때마다 새롭게 좋은 한강. 해지기 조금전에 가서 신나게 축구도하고~ 잔디에서 한껏 뛰어놀다가~ 어느새 해가져서 야경도 구경:) 이쁘다. 애기는 강바람 맞으며 타요도 한편보고^^ ㆍ 826조1항 1차적부양의무. 배우자간이랑 그리고 미성년자에대한 부양인데. 콩이한쪽이라도 나눠먹어야하는관계로 설명하신 교수님이 계셨었는데. 한강에서 실론티 나눠먹다 문득 생각났네 ㅎㅎ 저런거 배우던 2003년, 랑 최애 음료였는데. 한동안 안보이던 실론티가 요즘 좀 다시보여서 반갑다. 난 최근에 에서 주기적으로 구매중 😘 ㆍ 신랑은 자기얼굴 1번에 올린거 알면 또 싫어하겠지만ㅎㅎ 나의 1차부양대상자들과 시원하게 즐기고온 저날이 벌써 1주일 전이구나. 하반기 시계는 더 빠른것 같네. 12시간","['#20210922', '#한강', '#저녁마실', '#배우자', '#1차부양', '#콩한쪽도나눠먹는사이', '#실론티', '#나눠마셔요', '#민법', '#실론티', '#솔의눈', '#마켓컬리', '#ootd', '#해골무늬', '#실크스카프']"
jump_bin_1201,2021-09-28 00:00:00+00:00,영상,. . 저 사실 촌년이라 그릭 요거트 처음먹어 봤는데요 . 허... 꿀맛탱🤤 . 미친 꾸덕꾸덕한 텍스처에 벌꿀 플레이버 토핑은 진짜 미친놈 이네옄ㅋㅋㅋㅋ . . 냉장고 복숭아 있어서 만들려다 실패해서(씨 파다가 성질버림ㅋ) 그냥먹었는데 세상 꿀맛탱🙊🙉 제발 이거 안 먹어 본사람 없게해주세요🤪 . . 진짜 정통 그릭요거트는 그리스에서 만든것만 그릭요거트래요 파예 요거트는 정통 오리지널 그릭 요거트래요! . 그리고 @cheese.dot 에서도 구매 가능하데용 . 12시간,"['#협찬', '#파예그릭요거트', '#허니그릭모모', '#마켓컬리', '#파예그릭요거트허니', '#복숭아그릭요거트', '#그릭요거트', '#파예', '#파예요거트', '#진짜그릭요거트', '#구르메', '#치즈닷', '#그릭요거트레시피']"
,2021-09-28 00:00:00+00:00,영상,,[]
seulii.f,2021-09-28 00:00:00+00:00,영상,곤약볶음밥 스위트마롱 마켓컬리 깍두기곤약볶음밥 진짜루 너무너무너무 맛있어요! 오늘 주문한다고 장바구니에 넣어놓고 열한시 그냥 넘겨버리고 🥲 내일은 다른거 먹어야겠쥬 뭐 ... 간식으로는 마일비밀 아이스크림위에 내피밤 절여놓은거 하나 살포시 🌰 오늘도 행복하게 호로록 했습니다 내일도 맛난 다이어트식을 상상하면 꿈나라로 뿅 😪 13시간,"['#yeseulrang_f', '#마켓컬리', '#마이비밀']"
yxxn__mood,2021-09-28 00:00:00+00:00,영상,⁽²⁰²¹ ⁰⁹ ²⁷ ⁾ 오트밀 채담카레 채담카레 처음 먹어보는데 카레덕후 맘에 쏙 ♡ 13시간,[]
___eunbi,2021-09-28 00:00:00+00:00,영상,_ 오늘 시간이 순삭🍎🥖☕️ ➰시라쿠스 원형접시s ➰폴바살 버건디 원형접시s ➰폴바살 버건디 커피잔 ➰사브르 커트러리 ➰플리츠 와인잔(업뎃예정) 프로필 스토어팜 클릭✉️ . . 20시간,"['#데이바이데이', '#daybyday']"
kanchomom,2021-09-28 00:00:00+00:00,영상,포두부로 싸먹는 월남쌈~~ 포두부 좋아하는데 .. 원래 먹던 야채말이가 품절이라 시켜봄 소스도 있거 야채도 신선하고 한끼 건강하게 먹을수 있어 편하거 좋네 ^^ 마켓컬리 사랑해요 ㅎㅎ 13시간,"['#집밥', '#마켓컬리', '#월남쌈']"
jinyoung7700,2021-09-28 00:00:00+00:00,영상,요즘 식도염증상으로.. 커피는 하루에 한잔!! 카페인 없는 차를 즐기기 위해 구입한 디카페인차~ 너무 맛있쟈나~~ 저녁 식후 마시는 차한잔^^ 13시간,"['#차한잔의여유', '#마켓컬리', '#A', '#꿀허벌티', '#루이보스바닐라티☕️', '#디카페인차']"
happyspooon,2021-09-28 00:00:00+00:00,영상,"오늘도 시금치 프리타타로 많이 해먹지만, 집에 시금치도 없고 대파와 부추가 많아서 대파부추 프리타타로! 양파 베이컨 버섯 볶다가 대파랑 부추 넣어 살짝 볶은 후 계란물 부어 토마토랑 치즈 얹고 오븐행~ 포실포실 알맞게 익은 계란과 대파향 부추향 함께 어우러져 넘 맛있었다! 한국식 오믈렛이라 해야하나ㅎㅎㅎ 앞다리살로 만든 베이컨이 삼겹살 베이컨보다 기름지지도 않고 담백해서 좋았다. 내편도 아주 맛있게 잘먹음! 다음엔 두부도 같이 넣어볼 생각🤍 13시간","['#해피스푼테이블', '#happyspoontable', '#대파부추프리타타💛', '#저탄수메뉴', '#프리타타먹으러온보노보노', '#한손엔조개포인트', '#조개메뉴일때꼭불러줄게']"
