product_name,product_price,product_content,product_code,product_url
[커피빈] 아메리카노 파우치,"1,300원",언제 어디서나 간편하게 마시는,48752,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=48752&page=
[서울마님] 미니 인절미 3종,"2,200원",국산 찹쌀로 빚고 부담없이 담은,55242,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=55242&page=
[자연실록] 닭가슴살 큐브 스테이크 3종,"7,900원",간편하게 구워 먹는 촉촉한 닭가슴살,69036,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=69036&page=
친환경 당근 500g,"2,690원",껍질째 먹을 수 있는 친환경 흙당근 (500g 내외),70,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=70&page=
[이연복의 목란] 짜장면 2인분,"9,800원",대가가 선보이는 한 그릇,60255,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=60255&page=
[KF365] 팽이버섯 2입,"1,080원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",31391,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=31391&page=
[샐러드판다] 병 샐러드 11종,"6,200원",언제 어디서나 즐기는 고품격 샐러드,9669,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=9669&page=
[다담] 찌개 양념장 6종,"1,680원",원하는 재료와 함께 뚝딱 끓여내는 간편 찌개!,48639,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=48639&page=
[홍대주꾸미] 주꾸미 볶음 300g,"7,900원",매콤달콤한 매력의 밥도둑,62328,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=62328&page=
[광화문 미진] 메밀국수 (2인분),"8,900원",집에서 만나는 메밀 명가,52203,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=52203&page=
[픽어베이글] 베이글 8종,"2,800원",뉴욕에서 맛본 바로 그 맛,2697,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=2697&page=
[더플랜] 목련 어묵 우동 2종,"3,900원",[극한직업 어묵편 방송] 탱글한 어묵이 담긴 우동 한그릇,65872,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=65872&page=
춘천 국물 닭갈비 떡볶이,"11,900원",닭갈비와 떡볶이의 오묘한 조화,50290,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=50290&page=
[매일] 아몬드 브리즈 2종,"16,500원",365일 즐기는 100% 캘리포니아산 아몬드,3071,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=3071&page=
[그릭데이] 그릭요거트 시그니처,"3,000원",꾸덕꾸덕한 질감의 농축 요거트,62447,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=62447&page=
양상추 1입,"1,990원",샐러드에 빠지지 않는 아삭한 양상추,31100,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=31100&page=
[KF365] 방울토마토 500g,"4,800원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",29438,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=29438&page=
[홍루이젠] 대만 샌드위치 3종,"2,100원",호밀빵으로 더한 고소함,72794,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=72794&page=
[KF365] 흙대파 1단,"2,480원","믿고 먹을 수 있는 상품을 합리적인 가격에, KF365",54885,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=54885&page=
깐대파 500g,"2,790원",만능 양념채소,27320,https://www.kurly.com/shop/goods/goods_review_list.php?goodsno=27320&page=
