Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0,,224924381,,,0
H5,2018,2018,2018,2,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0,,71756333,,,0
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0,,689174695,,,0
H5,2018,2018,2018,2,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0,,266370644,,,4
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,321418830,,,0
H5,2018,2018,2018,2,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,540919576,,,4
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,196019555,,,0
H5,2018,2018,2018,2,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,245904853,,,4
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,134809141,,,0
H5,2018,2018,2018,2,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,24380765,,,4
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,22379276,,,0
H5,2018,2018,2018,2,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,90278550,,,0
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,96049636,,,0
H5,2018,2018,2018,2,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,212176827,,,4
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,177047585,,,0
H5,2018,2018,2018,2,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,3676701830,,,0
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,203003521,,,0
H5,2018,2018,2018,2,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,145395931,,,4
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,0,,986170681,,,0
H5,2018,2018,2018,2,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,0,,555531080,,,4
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,0,,,,0,,97829978,,,0
H5,2018,2018,2018,2,0,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,0,,,,0,,162952300,,,4
H5,2018,2018,2018,2,0,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,0,,,,0,,118318434,,,0
