Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
850212,30821,38255,43372
845090,58800,51659,51609
250700,46129,46163,41867
293359,40022,32881,36624
690790,4589,11087,42455
731210,51118,66784,44166
120910,25191,22266,31631
842139,73011,42374,40874
391239,30656,39045,38541
903289,43481,51700,53370
870830,34275,43898,47206
290517,27454,43360,29183
271312,58198,118753,69669
210111,19143,22705,31099
340220,30653,37906,34643
320649,35908,39112,38974
760711,43772,46938,55601
840999,34127,49750,44224
560311,65140,40755,35157
940320,25898,31663,46350
741110,31014,33279,46760
540244,51490,57886,51365
880310,0,0,768
50400,35767,44983,48939
842410,21570,26129,27361
20629,43719,58694,119183
611090,31359,44931,58199
600633,2177,2681,27319
730690,64294,100703,53623
320417,33950,39045,38811
382483,12333,45714,38705
470790,155,1049,1610
940360,39505,31496,41382
847982,33700,27494,29541
870880,23139,38664,40579
847910,13476,20025,19440
721633,13992,41370,33993
271099,62587,123450,66812
381600,33030,36164,32463
840820,30037,35798,47915
251511,32742,50700,46192
870332,2071,19306,29975
730830,19514,21586,29044
310420,39687,56638,65310
293329,12638,17545,26078
721631,8081,20214,13218
321410,18276,26673,30136
380891,43028,49505,68489
550959,41330,48717,43386
293500,49552,36887,26009
851220,55311,65797,40343
730799,38627,41507,19828
760719,35993,33411,37794
848071,18893,24359,27911
401693,26074,40806,37170
740811,40110,22926,68336
721935,18374,24681,23371
848310,36748,34793,40790
121299,13818,19693,18980
853521,13405,32125,40400
550320,36523,34981,38613
901814,25785,17313,29747
841850,10012,15458,23496
540310,41502,57853,52720
550953,29020,34467,41578
854130,3887,5556,37021
901839,23731,27138,27712
150710,171578,125471,160166
853690,28399,43005,41908
240220,28501,65277,64467
902920,235,1016,650
731829,33544,37367,26145
80222,11651,16960,17386
870870,23001,33695,32975
380893,35353,37992,38385
230230,14153,10900,11824
401699,34083,48829,34183
850421,4372,28040,41206
640610,3949,6215,14374
283311,17168,24648,26408
845020,48381,46744,45798
380894,22061,33962,34624
330499,39091,35855,52915
870510,52940,72104,40578
741011,19507,50281,23712
440890,26057,28129,31391
840991,26264,35471,32250
391910,32390,32592,31719
870390,1791,3806,18311
843810,22986,13653,36747
740710,8362,8823,23572
843149,24643,26164,30520
551519,23604,46375,45267
690290,14386,26705,34281
381230,25261,28138,23680
845011,47883,43830,23199
842199,35836,33928,33125
230210,31857,35095,29234
550200,99480,66954,34800
848110,34966,23665,28418
392590,15666,22752,28895
842481,31121,13129,26832
30741,1435,3956,26156
170199,217895,282799,120383
391110,29208,34493,30411
294110,16866,16443,21966
850720,18434,32961,38443
300440,120289,107725,12349
90931,24215,29680,22785
10221,12895,28450,32234
871639,20460,29199,25929
761490,13558,22927,5355
830242,14126,21121,22964
320411,27691,29984,33158
901920,23337,13200,19936
841989,101649,59014,28444
80212,5724,14381,17887
848079,26316,30086,39028
854720,28368,66205,46192
320416,24436,28261,29160
845229,21142,30896,30563
540262,29871,26759,25162
441239,17324,29086,25764
391000,20616,29716,27617
720852,13833,25890,22407
741129,34069,34251,30286
40630,21993,18039,24062
830241,19169,24745,22661
80111,20752,35226,24618
400122,29434,13253,10860
510111,26858,61114,76431
390740,22840,37323,38211
852872,15977,103763,104725
850211,12351,17143,17809
293319,2465,3867,4930
760720,16702,16650,16977
870540,22547,22954,31295
390422,18423,18853,13609
950691,12340,18449,23797
691110,21355,41356,34276
848190,47545,47081,37251
283711,27356,30735,30239
870431,7305,16102,25697
621210,6169,10780,23378
190190,18861,23430,23998
730900,26567,19505,20805
381590,30560,50862,28802
843830,4030,1857,2676
392350,20664,25293,24735
731100,23634,24513,28353
80940,10464,23407,27028
842489,7953,21708,22721
310520,11451,11407,21935
851830,9860,10303,22453
852580,29092,43772,36167
841381,45916,27201,28065
721632,7926,9309,17612
392630,9886,20906,26160
350691,14720,22090,23028
701090,21920,21671,23278
550130,27468,20772,13950
292429,17880,11214,14589
30489,24408,27711,35284
81050,8936,16120,22752
540771,14161,22956,24661
400219,29547,29787,19435
291531,16349,25059,20211
760110,18981,37998,41811
151521,41497,33358,32664
850434,57600,15454,25017
850940,24778,34951,33264
390799,23591,29676,28204
841182,11446,13192,3613
570390,4796,4447,12272
293499,36730,29342,29008
720836,7997,8713,28496
721650,31845,47804,36596
270119,78542,66566,63571
551211,957,5606,19125
400510,15199,20400,15348
848120,20539,28276,33173
200989,4465,5516,6896
841391,21550,25736,28049
732190,22817,19000,21458
853669,19205,19705,22646
481141,19756,19817,21184
391740,17048,26716,32436
340290,36058,62685,33382
120999,28924,26050,20085
847330,26642,35663,19652
840890,17460,28687,26351
851690,23974,24861,28681
701349,21957,30741,27502
854411,15324,26485,21876
844130,6046,9845,13185
310430,22125,20955,25733
853590,3419,5065,7594
40410,14139,16489,20142
320710,24264,22390,17110
850110,16477,19935,18890
180400,18875,24917,28535
846729,14280,16594,16851
540769,38066,45825,39494
600632,16860,22435,13674
560312,15772,11785,13778
392410,10158,18062,22910
470321,10583,18739,18227
680293,368,2790,16138
761090,8262,13910,16662
846229,10008,13652,21829
610690,2831,4495,20650
292241,16681,14053,22367
80132,4672,7092,12846
730439,12900,33543,31400
870893,18538,22266,22534
292219,8969,8588,18467
291736,903,21212,7056
851821,6617,12724,17387
540252,31102,35918,19838
850490,26421,41632,30972
841840,16031,16817,16954
330590,13290,18025,19580
291532,26236,31331,28414
30355,0,810,6028
690210,33386,45982,20813
902131,7027,9857,16928
