Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
740319,62515,66460,63942
441231,0,2835,36604
290121,68180,88327,65479
480511,95128,74067,64632
850110,117357,98771,102481
151190,189736,186218,31453
940510,48103,48024,58129
853650,69348,83035,75083
840682,12395,1402,17029
721050,45245,60259,57551
847329,13580,39623,69004
391710,57343,49109,59284
230330,22963,34218,58284
842199,52793,63646,56799
681182,0,51273,47289
620342,28387,33556,53110
854233,0,13502,85923
310559,50837,42139,67440
190531,39845,35362,43091
340290,60539,58895,54210
540751,2695,4220,9685
180690,81839,40577,44895
480300,36878,45002,55994
870410,113464,101526,57011
842951,71789,87264,75559
401110,93555,94303,90655
854420,67665,64954,60338
730661,0,61589,50483
852851,0,72518,64779
730810,4599,12551,61850
260300,1906013,684600,15952
848340,61915,67345,70183
381700,25278,46261,44410
80830,0,25901,38208
392010,39620,55306,50612
480256,12175,28637,31891
170290,37715,40542,52488
310530,48106,46563,36394
847790,55548,64283,57408
30749,43515,51703,55731
844331,0,60350,45594
940540,65564,60530,73244
110710,58495,71544,84674
850434,7566,19737,14489
847340,94287,72359,59482
392020,45761,54606,46336
292910,70983,85946,59143
851761,0,80416,25018
852610,57356,48699,42534
640299,17779,43666,52845
550200,40185,50928,57363
40690,48006,57287,50445
340111,36363,38521,45097
854720,87736,47752,46528
390330,39789,74594,64290
30389,0,19821,66391
841430,80324,79608,69514
283620,32532,39005,47624
30354,0,125387,58986
300410,42473,44165,61401
848320,36559,111862,89698
293040,51031,46935,53861
252390,14439,21549,42376
847290,25376,29324,44235
610910,45622,58519,62876
880220,4926,9562,76199
210610,38874,47207,44331
300432,41202,41798,47431
848390,48197,55643,58909
880230,334929,73869,95668
841459,41185,56649,53584
846630,12552,8367,34630
321511,79367,39350,42032
847490,47446,58480,47629
741300,4328,40497,60556
390810,42744,53004,45624
845011,40148,53706,50917
840490,91885,33416,29833
901839,50150,49682,71298
220820,53057,91357,108361
841480,40153,43997,78803
481013,47437,65409,67697
720839,67362,123487,103197
870120,128264,115154,112328
320890,49083,56147,58105
850710,50049,46506,37759
110814,38415,54478,54581
841950,47451,46097,56399
392350,47907,45750,50627
340211,37249,40487,42990
853670,0,18072,19855
847710,72808,71697,69289
80550,6859,13255,24176
720917,131753,138522,83304
300439,26081,38434,50322
190420,36172,41977,51913
853649,36208,57938,49320
841199,66513,18367,23749
950490,89955,91525,113230
