Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
731815,513117,565568,566968
340130,277259,311635,266278
810890,471078,590936,547776
890110,154069,469,485135
390690,369129,396178,412959
300214,363177,339645,314991
846729,343513,359415,345371
30617,457069,416207,433507
391990,429950,429581,436119
620193,406702,470753,463839
853890,523076,546275,484788
730820,45454,364591,362579
830990,302451,347600,364662
940490,402657,411175,429959
902131,473153,533226,544414
610463,341528,341706,341844
901420,461001,481019,496999
180631,341618,365667,357856
901910,234632,261916,276292
840310,463544,470175,439745
81040,337787,373022,390971
847141,325432,301381,326124
391810,339033,360972,392480
871690,506450,552378,507455
392410,418305,442362,450368
392350,399485,403714,395150
401120,416629,431710,413216
620640,681513,648732,594920
620520,597954,598736,580239
390230,468050,485067,452271
853400,480364,461907,466169
870194,359888,488960,448642
844331,627105,628407,540884
120190,315681,328883,250623
854460,574791,501053,405950
848310,459994,540627,522403
481920,364953,410917,398529
190230,215730,230805,294513
853110,360445,447839,454738
750120,144953,327689,283790
854140,548814,365609,384040
910211,525563,512669,518677
842890,440826,473587,451639
870195,358579,375207,353156
701090,225557,257904,307106
780199,472584,379327,337385
80440,282426,267404,342470
401693,418300,427051,382523
190110,237441,263274,284414
840890,655326,593803,492404
620343,385733,404263,422802
270112,801383,1102005,650228
841459,373595,408003,390559
392310,329182,358739,356896
830241,341893,359144,381170
950490,257638,271318,286171
160249,209519,224823,212714
392390,330623,359651,345362
300431,475507,470800,509001
220710,426642,385351,507803
841290,351770,525548,599479
611595,394131,413551,415408
200210,274981,259870,304631
842290,258519,332380,309228
321590,323407,610009,354228
871150,432349,467100,377292
950699,294441,281823,277659
380893,361205,352761,347131
180400,293364,277641,309880
390210,477769,541211,446870
760429,405297,453813,437068
180100,243591,264471,248389
841370,240955,353650,340779
390720,376074,371836,355804
848120,308394,383767,405314
340600,363581,283035,300607
620293,339828,381907,364043
840734,416804,339784,420147
902290,251287,408199,410104
870892,505038,575934,477514
392329,257429,256192,289368
740811,436568,419426,384220
481850,14714,13253,10323
441820,337917,356910,347657
190410,249279,268222,291158
850300,534435,517506,393436
851769,314220,334115,295740
610342,232148,254068,273079
842211,292804,319454,295757
160241,509970,498637,399419
710812,133725,173963,53672
401699,357660,352148,334603
842720,383991,480418,515237
840390,335716,393705,334275
850980,236808,241306,259337
100630,239228,237732,257903
842123,322366,359750,367605
848340,400780,437949,400728
90240,318470,321259,282177
854470,175799,207646,269421
40630,259274,274548,276309
970500,541859,447187,380986
870810,360415,379852,390635
610510,391544,406523,396683
81020,187953,223983,274236
841490,337154,362570,311361
380892,268156,278824,316597
100620,260542,197714,214816
854390,168142,252477,218204
841821,233328,249691,273287
846721,295906,278938,240129
841950,262217,304565,341215
902139,221643,253757,319064
840820,1114824,1200020,624668
970300,243493,389944,342816
20230,229381,349914,271993
732219,262183,283445,289232
391000,275202,326916,305573
442199,270363,282872,272016
843131,297343,296713,331184
151190,189456,265001,258771
690721,243027,243107,267410
60319,364029,377884,290267
761699,347684,339576,316298
300590,230942,238293,250729
151800,167432,202913,284750
392490,240809,250247,253957
40510,408116,429198,321143
710692,221059,325381,426321
270400,273919,292843,334322
160250,327728,299997,239546
470329,343636,419979,304559
240319,316659,243484,169084
870893,433146,407730,345408
841181,284048,356421,396857
854232,239865,211324,198460
902620,260399,298642,293376
902750,236299,280796,303168
852859,302587,329290,370328
380894,51176,59788,74692
842810,286200,293560,238960
844332,359862,353350,357549
290110,212638,354509,262541
330510,230795,240075,256847
392062,266642,286961,264083
847190,379151,375110,330004
392590,259445,258930,257439
481910,256541,274831,258344
620463,324910,379403,369205
841850,275898,278630,265888
220830,290474,289192,243425
620213,284410,322273,326932
80510,242960,228026,205776
851140,282994,341549,377548
293399,270665,199638,208407
950510,302625,278209,287568
910221,248190,265894,305465
210111,315890,300578,252307
903190,347196,346946,310715
180620,159073,190421,246893
841221,217735,332332,364610
848390,286076,298957,307607
871160,58854,68643,131939
160419,170349,187099,192327
160521,288944,279846,252918
902710,194235,213637,213629
81010,221799,206977,212095
841229,207714,257077,305426
20329,247395,245981,270583
870490,63545,74657,168801
200912,224673,249705,241879
851822,287070,294465,269586
843311,215347,212162,207351
441810,255511,273511,265197
440719,204671,298089,264109
940290,128938,185991,172109
70700,195794,218134,217286
480256,315304,337798,327253
842129,171309,200738,249274
300420,576334,604016,414819
940690,201422,218065,160338
900410,328596,349831,297604
732393,225622,228341,228251
420212,353281,353318,371504
20312,257448,243938,271266
190532,167822,213567,216362
860390,66,24,649918
850110,234515,260705,290671
330749,198861,186924,215272
370790,442852,462430,392501
851679,228961,226780,213838
760110,345512,423451,326942
321410,234985,272048,253941
330420,342925,320954,295138
830230,284703,271951,254841
848350,300542,312687,288090
850720,231303,246297,259883
940171,163707,188518,217449
70999,217049,239630,211256
851650,193571,205560,226943
71080,221565,245192,227807
940130,168024,176514,180441
620444,220260,263213,327853
391740,164732,207499,218818
940179,183488,174915,211444
940180,246622,221600,204789
732111,204900,196455,198288
200990,253814,251647,248271
300691,147546,191955,338422
650500,255560,282098,270341
70410,189857,213664,209961
860791,120989,150565,182840
80620,191638,199064,222041
610711,231338,253225,258714
761290,171256,137463,213055
620442,229894,246383,268359
843139,215610,220186,292726
390810,339895,378120,322988
390410,288252,301608,250818
681510,306899,367017,373160
70951,252088,252350,239123
690919,230624,215249,243798
293349,307705,260030,302452
853620,195993,202753,219804
120510,150613,80891,145385
390140,220879,231932,222253
841869,160308,189567,240970
841981,321225,352635,327428
611011,265040,280077,276255
851671,174715,185485,187754
330290,249599,283747,239184
842951,256696,296834,315577
843143,150376,219873,228998
284420,279821,458235,516777
310210,199035,282211,211153
481890,53538,59030,60745
830242,247800,263174,252483
80521,183475,203588,188810
902140,321829,350821,283014
841381,160183,156753,192701
630231,232693,227235,228133
842121,177251,221988,229513
841360,169213,247073,244582
391910,239980,210827,217198
902610,179991,200787,212345
741110,244515,247816,215402
300510,233938,235744,220878
610343,164730,186453,208635
480255,230314,260441,243761
730840,231542,327480,282677
320910,181782,191396,166779
901831,174338,198598,199340
481141,172659,194881,180539
481159,196787,207346,189148
630260,253505,242336,247645
80550,183608,196741,175143
902690,171406,201126,228032
200919,186394,180611,164024
842230,186822,171350,285742
210320,179246,191585,184740
340213,187037,204490,214886
470321,237243,313604,219855
220870,193921,218886,199807
871639,140544,141964,190730
621143,172053,192074,209480
640359,336001,308041,281571
170114,226452,165152,192889
293329,243992,239076,233421
291590,160510,193862,170567
271320,331974,257695,295641
481029,217494,255960,250335
70310,171951,229772,295654
903290,216609,234239,279153
230120,122800,156632,178439
210610,95114,112763,144283
630392,166987,155854,189975
481820,223886,235878,219828
441233,136576,156456,160592
843120,249616,251895,239071
190219,114244,129922,155050
482010,202234,223389,220604
847050,156189,138585,170124
847490,229802,276420,244132
200290,160023,142519,156784
870891,185968,194007,218718
850490,186998,246687,238520
850940,164113,169992,149525
851718,230976,256916,296751
721070,187177,207114,286976
321519,412996,263110,232920
850750,36614,38397,200842
841899,193964,203901,203087
611430,174248,195528,208201
200819,159072,168396,179708
850610,177757,177241,179161
441114,200121,209073,202481
481940,200144,206445,220652
490900,252714,261099,232407
340111,117215,103174,133509
300449,96822,187251,172831
481013,208168,215622,229688
190190,159338,161832,178176
610443,291124,285574,292974
480411,153974,248270,175809
750890,95847,196150,236467
870790,217301,223633,267975
60311,209406,225498,187657
700721,290180,294565,224234
