Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
681510,84047,99002,103719
901590,25444,31581,44062
600192,131629,125013,107638
20649,112758,98306,87535
830250,61825,76836,79973
871680,79564,84195,84903
610463,45113,58104,59592
180620,107265,102448,93919
340220,69214,72016,80027
381600,80761,96667,87463
740710,89434,96024,80048
391239,71942,81157,66850
847982,86760,85309,75182
761510,82415,80915,74938
470790,75877,99488,78173
851650,78817,92527,86590
120242,178681,165180,147155
210610,70112,78053,71664
870410,179441,180860,65382
732090,66504,74891,77509
902190,93956,73716,84229
848640,110231,103322,69562
731814,67118,78228,83179
731819,66672,71385,75809
271312,91531,184263,180165
851180,81266,83356,78849
852713,113415,128221,111972
400219,112357,130337,117487
560314,91733,106703,98373
540752,94199,101188,100540
730729,47212,58152,65055
852691,282030,262329,198200
560311,66050,68773,54209
400932,128189,75980,84313
741110,97074,110883,71264
381590,66796,78200,79248
731010,48902,55884,113386
730900,72892,92430,84689
290512,73834,72568,56513
190532,68229,83065,91196
853180,82232,89732,92324
550320,131360,149218,124729
760810,75330,73368,69874
830110,94213,77161,70673
841182,150098,106842,83189
940599,124008,127204,124499
870821,53493,70751,93844
620640,116511,120800,109560
820719,79414,82119,79952
820770,74452,84733,86627
80212,69204,74841,84708
420212,99889,122179,105989
330129,49195,60068,59476
441232,61888,65555,60776
841861,37017,56588,78818
291590,65142,82954,74217
170490,96071,107545,83535
732190,73026,77139,77476
200290,57571,51096,61478
851521,129342,207256,188540
842810,105563,109054,95826
848291,78554,80320,88228
190190,58534,67080,63483
310530,104603,107134,90737
440929,153343,162843,167700
381010,72571,75789,74214
200870,67125,74110,65445
851822,128064,128591,131217
761610,71897,75278,75771
710239,110588,105461,73500
621210,49142,69155,73909
853223,49383,63001,79239
852329,64896,63461,84775
845521,99773,38937,265223
851718,178912,216173,218373
910211,136507,141618,124313
330420,85830,82263,81349
470329,232069,268404,52063
281512,103526,97845,71963
281700,99612,84632,74361
392030,65593,71915,96246
740921,90897,96326,78221
292910,134540,153726,70269
843120,75975,85495,71667
150910,53569,64856,53055
730791,75251,81250,79098
846221,113011,135989,105279
850132,47804,73956,65757
846721,50232,62703,59367
842951,195667,248314,147598
291899,43777,49986,49006
847720,154148,167116,120198
70190,48329,59887,58824
845811,159151,173370,133996
850519,72563,76929,74513
847290,118731,146600,115717
711311,61728,104803,101905
340111,53860,61848,60245
902590,49603,62110,66327
902219,65609,67369,54080
810890,117772,139636,124784
721934,139952,118868,76412
30461,129909,183402,0
310520,61787,115896,72205
790700,61591,70783,70612
850610,53409,52768,55642
210111,46420,53887,55303
600532,81295,72492,72475
903033,72508,85182,76997
291614,101112,105805,62219
350400,59823,67937,62991
481019,86062,132802,90341
620293,78139,99789,108016
731100,67346,65221,65915
722300,75972,82977,90477
391690,57571,64969,67081
570320,90796,96977,78732
871200,44099,55751,54997
940171,60707,72920,75559
350510,66384,71488,63960
721230,58660,64130,57513
300450,99221,98908,86542
847329,11322,43091,107344
900410,103983,102804,100706
390610,61681,72780,67345
870432,69678,73942,104870
491110,85163,89399,73958
843141,81884,88715,70294
961700,37962,55731,51855
210500,46209,54102,56740
843810,80020,83547,77946
940370,49449,55735,60665
820559,64622,70588,69166
381400,60793,70659,65476
700711,60944,78417,73870
701939,42345,60468,61334
650500,74495,83112,76676
851610,43710,53870,55399
481029,94731,103895,95430
841919,64521,95037,61562
880330,64502,75605,77669
853225,63309,68247,61240
841520,53995,67156,119154
840890,80635,89501,71495
392590,59250,72264,58946
392620,47710,56755,53061
292249,49335,56162,63685
961210,75087,75490,72876
701959,48908,58197,65192
600110,75031,88890,87068
611610,58468,66898,60519
293299,84604,85100,73753
400122,111092,101624,111243
280300,52257,70063,74996
850750,18951,90842,133260
291814,70003,68393,62604
870390,23021,18356,51563
845090,41345,48383,55747
291539,48547,59132,55418
721550,49793,58914,56727
730721,37691,46675,51907
852352,86624,83386,90807
847981,135902,238985,174842
540419,41532,57213,56408
732620,59110,64100,61576
850780,204415,104604,30476
293219,59537,47558,68953
851230,77785,83063,57902
848420,60121,70314,62635
330720,77720,73332,62715
610620,74147,75590,70607
680510,73010,72747,68630
722850,50240,58940,54658
730650,88543,87310,78016
731821,47808,56658,53571
540110,99025,81866,56430
950430,170615,189230,127411
831120,70225,74936,74418
761090,50325,69635,53340
390469,39438,46176,55267
730661,92340,100614,89562
300390,93257,82048,70737
680530,53722,58180,54444
190531,48786,64560,58112
400220,112465,110005,91290
521142,59695,68969,49852
730719,60489,70844,60050
710692,52046,56123,63912
903300,47732,52920,53051
321490,59228,61518,54636
701090,181951,131751,76832
722220,53917,64205,56393
650610,46332,52550,60440
900490,39464,41883,40001
820760,63891,71926,70257
732611,56412,57999,54661
30462,103755,96836,101946
846789,48369,55814,51607
600632,106887,109807,85001
293190,95843,103473,22722
381519,53021,46056,42887
854150,57158,62693,57134
391110,57351,66878,58714
854511,54224,289621,116319
850410,86592,74288,80357
170199,61886,80256,30517
853329,56790,65003,59873
110812,23086,30342,35454
482369,37165,44559,53109
700721,66705,72297,70099
740911,55179,64061,51854
151190,35007,31465,19768
540710,78869,75136,62841
610510,73077,74725,75816
841311,6615,16671,9415
480419,51072,54344,53707
390940,61605,59221,62282
691200,44914,59340,61701
390290,61157,56001,56868
900110,41763,74450,51616
481151,110309,91280,66522
760611,106693,91301,66468
900211,53130,67325,63764
853110,43318,54599,60668
400599,66074,51587,52184
842952,164805,156030,116934
392051,42388,43211,41757
848690,53653,58990,59615
851690,41679,44351,48063
410411,122491,123910,100213
902750,35939,42057,51536
441114,69753,63372,74451
846620,55098,68958,60326
210320,42381,45426,48441
850153,69169,61664,57070
300290,71811,79948,67265
292250,67066,49961,50258
490890,64504,67629,48745
940290,48558,54997,41176
540761,70722,59473,55697
310430,45877,59698,29311
940179,64031,65828,61830
340130,39295,44084,48125
854790,60344,57997,48717
330410,81427,64835,63327
480256,71267,65351,96713
310540,66824,105785,83666
640419,74118,83387,73867
853910,31727,41510,42655
847050,65570,84941,78715
291411,83306,73266,44441
560750,45090,49593,46809
853221,44925,56909,46833
90421,64942,91704,62375
842420,47143,44335,41436
210120,51328,49232,49593
100790,72367,38287,136114
901849,55935,57815,69932
851539,42993,55616,67374
293329,63376,86100,121161
741129,8992,9404,17286
760692,86801,113444,81506
721499,97207,96231,85412
841981,88792,80426,77195
540753,36247,49331,52031
847590,103020,99821,116205
720852,78919,81053,65517
420221,60557,68902,67879
960720,55867,62532,56787
850940,104351,114107,61399
321511,49284,54708,51636
551299,41327,42272,63827
611595,29959,45347,55298
630539,22464,22041,30490
901812,51823,45709,60103
841821,22505,34498,35601
620343,47964,48462,48449
401039,49338,50740,46802
330749,54976,63256,60282
81010,39953,43305,44521
722990,81863,98581,77739
690210,46868,81671,64584
843890,45287,50974,47710
200520,38378,37150,40330
170211,45488,42339,51473
611120,43641,51037,58191
382319,33584,34228,39526
902214,82887,81833,67062
691090,43787,51117,50959
490110,51168,47061,44631
360300,136853,117950,76850
250510,92416,82969,76061
480100,98056,85221,75383
520942,141610,143193,122922
901480,30636,35495,40146
840732,122439,118493,32410
690320,66823,74263,67867
401610,45896,48904,45375
730441,37525,49546,49645
70310,48034,39123,65811
630710,34598,36841,41784
940592,55109,58389,48492
