Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,56667113,,,0
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,26924354,,,4
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,0,,,,0,,211267093,,,0
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,0,,,,0,,45145199,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,71077573,,,4
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,56628020,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,257566099,,,0
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,65951691,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,4020831,,,0
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,6304950,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,62653758,,,0
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,14322915,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,166848109,,,0
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,137914079,,,4
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,506937145,,,4
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,50064943,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,130920808,,,4
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,12171893,,,4
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,0,,27840671,,,0
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,0,,1304450661,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,0,,,,0,,24712416,,,4
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,0,,,,0,,468752120,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,0,,,,0,,60587661,,,4
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,0,,,,0,,341666691,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,0,,,,0,,9318800,,,0
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,0,,,,0,,981804,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,0,,,,0,,479870,,,0
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,0,,,,0,,306534,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,0,,,,0,,196938360,,,4
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,0,,,,0,,140023662,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,0,,,,0,,96082829,,,0
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,0,,,,0,,13542269,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,0,,256682718,,,4
H5,2018,2018,2018,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,0,,63710574,,,0
H5,2018,2018,2018,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,0,,,,0,,206552403,,,0
