Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,733826673,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,112100738,,,4
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,0,,,,0,,1746532811,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,0,,,,0,,5090324162,,,4
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,2016059484,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,1522665357,,,4
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,1039295988,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,2620021641,,,4
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,235209836,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,308944939,,,4
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,300924167,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,141191177,,,4
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,770518482,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,1004448695,,,4
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,1814814215,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,1157798410,,,4
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,733264307,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,556148061,,,4
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,0,,394128355,,,4
H5,2017,2017,2017,2,0,2,Export,616,Poland,POL,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,0,,947415968,,,4
H5,2017,2017,2017,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,0,,,,0,,213789217,,,4
