Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,704,Viet Nam,VNM,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,,,373424461,,,4
H5,2018,2018,2018,2,0,1,Import,784,United Arab Emirates,ARE,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,,,114961175,,,4
H5,2018,2018,2018,2,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,0,,,,0,,722492947,,,4
H5,2018,2018,2018,2,0,1,Import,704,Viet Nam,VNM,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,0,,,,0,,529320613,,,4
H5,2018,2018,2018,2,0,1,Import,784,United Arab Emirates,ARE,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,0,,,,0,,1870163365,,,4
H5,2018,2018,2018,2,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,0,,,,0,,5850611149,,,4
H5,2018,2018,2018,2,0,1,Import,704,Viet Nam,VNM,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,,,1522080124,,,4
H5,2018,2018,2018,2,0,1,Import,784,United Arab Emirates,ARE,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,649061724,,,4
H5,2018,2018,2018,2,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,2768573782,,,4
H5,2018,2018,2018,2,0,1,Import,704,Viet Nam,VNM,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,636771257,,,4
H5,2018,2018,2018,2,0,1,Import,784,United Arab Emirates,ARE,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,1851026179,,,4
H5,2018,2018,2018,2,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0,,4244541976,,,4
H5,2018,2018,2018,2,0,1,Import,704,Viet Nam,VNM,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,,,382365165,,,4
H5,2018,2018,2018,2,0,1,Import,784,United Arab Emirates,ARE,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,,,5015593,,,4
H5,2018,2018,2018,2,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,194467229,,,4
