Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
842531,31630,31939,24092
845221,798,98,19208
902710,8538,10098,15412
847490,15557,21659,17336
401012,3996,3192,9807
847529,50450,35614,12031
901920,30111,20591,9694
845430,89655,140602,9956
340290,13417,9972,19351
845590,13378,20652,12052
701090,16826,6167,12385
520832,31,62,8571
730429,47420,24184,15542
370130,10063,7294,18047
750210,17133,12722,13302
731511,2326,2031,11790
701912,27753,25164,25252
690912,337,278,18436
721934,84637,68309,24280
281810,12711,9662,14302
844400,12749,12417,8503
401699,10489,5967,18673
294110,9042,9999,43238
853590,1758,877,18422
845490,13782,16973,24072
381600,25443,26436,16960
843351,52623,28937,64359
340220,9940,4726,17915
391910,12254,9380,18487
902140,17637,18586,19824
847720,32484,24463,15259
843830,1900,663,522
91030,21669,23994,15575
846420,14746,4049,11107
701810,860,86,14690
854442,12434,7457,15907
848280,4505,3779,15793
854231,56402,22851,28896
190110,16,5,13169
901813,33328,27301,14261
321410,21094,10147,15963
292250,13861,16493,22556
293299,3185,3876,17987
851130,5397,6231,6980
391620,6155,894,13065
850131,20082,15126,9585
180100,48146,33321,12413
600632,12,5,31578
293719,3654,11981,11232
540233,6054,5912,20825
901850,47397,32988,23550
320416,17627,14361,24146
391290,10201,8190,15115
391810,21160,4492,17654
300432,113230,112871,25395
291899,4851,2914,5033
847790,14610,13162,24785
290339,20626,14639,15987
853649,12358,8398,14331
901910,10056,5829,6193
848390,22022,10583,17845
382100,20564,26772,17583
848310,17471,9162,12210
551614,0,0,37492
401693,13065,8404,11483
830242,34281,20436,19880
760612,5201,4966,33625
350699,21761,20541,16002
71320,129541,76563,19344
590310,14376,4739,21229
847930,55311,44398,9390
590320,508,366,33290
843780,27113,21367,5013
320411,21787,17525,26648
151319,17004,15452,12752
721050,15092,30213,12287
830140,13094,6559,14271
830110,5525,3630,7784
902750,6850,3069,10905
732393,38069,9029,16200
392043,67048,40776,24422
902620,14297,13162,11857
293090,11521,15811,15459
330499,89683,71310,45936
30343,43393,27336,16067
271121,36,0,13413
961610,407,274,5309
390931,1522,3357,35869
350610,34922,9147,17554
120770,0,0,11899
200811,0,0,13229
480591,467,713,11613
730900,7097,1399,9139
850610,21278,9347,17508
851190,50928,27771,10941
284690,1,0,5992
851310,2265,822,6727
850120,33697,13455,9960
701349,33286,7623,14643
842951,39925,9646,4380
848330,11958,8396,16630
560312,12083,5155,12312
844399,18460,11889,14367
842490,10045,11933,8122
560811,1782,1303,12600
850490,18403,17838,18077
901832,29419,23214,12682
844332,16468,8792,23545
310590,34886,20339,10369
400700,10806,6999,7839
521031,6,12,2570
550130,64917,104180,20891
90111,19538,25893,15734
847982,30525,23548,12778
860719,24149,14725,12307
842820,1326,2841,818
843149,37703,17354,19951
848360,6587,4493,10218
940120,6827,28699,7490
382311,19201,15850,14646
841590,134787,76442,51955
850790,20184,21896,20406
842612,2358,2390,550
380130,6350,8820,4960
401180,69658,50193,26995
940690,12247,14394,6270
848140,15592,9623,19598
480257,139501,113851,67511
392640,2251,658,11128
401039,4161,2078,10535
392350,9153,5987,13357
842952,165342,141390,8792
540761,5670,2308,55834
850423,7559,2018,24432
151790,16970,11907,14996
292419,2626,1954,8933
870891,13176,6289,9837
540247,48430,29320,21955
392119,4818,1959,8870
840690,274370,299430,24208
550810,188,382,18626
902680,9145,4488,5608
640419,4010,645,15281
722020,6116,5754,6615
851690,11699,6582,9921
390110,44103,33226,17446
847420,36992,22213,30889
848130,16558,7052,10625
820239,2838,2097,11699
292242,1809,1979,13732
731100,6278,5377,5095
10221,42096,5471,7106
841960,2328,9210,42855
294150,16452,22627,12327
840390,475,1068,12338
730640,16044,9775,9808
841381,33910,60459,9046
852580,72322,50705,47204
481019,125960,50046,38683
293628,13667,13990,11335
420212,5914,1683,16342
845180,13701,5132,9050
481151,14429,13259,18675
730799,14109,5448,12150
845521,37661,25597,17181
852691,44559,64394,6279
848420,30207,16460,11677
847160,18424,10015,15788
845011,26838,10429,144861
330510,53388,19416,22828
321519,42449,43859,19559
570330,6,64,1925
853110,2229,2718,10861
270400,30884,126764,71625
940510,13372,3497,21049
902121,1052,525,3581
853669,10038,7643,9914
551011,7466,3982,20541
721935,20774,14959,7357
850940,40263,12269,15991
843231,2191,6002,11158
851580,6333,5761,2117
730439,15874,10016,1488
843890,3196,10400,5524
290532,14365,16812,18914
611596,12,1,4336
842511,5346,6095,4793
840820,21560,23505,7519
283711,4878,4434,9133
844520,44903,37555,15152
842489,13086,13978,10946
711719,7036,2161,11304
220710,371,147,308
841869,42676,29783,16785
902150,8440,4217,25121
903210,5982,3625,12395
293627,8554,10933,6989
621010,173,33,78
848610,0,0,9187
851110,10756,7912,13484
847170,114531,147540,96485
853641,20476,14620,10523
600622,16,0,2502
730719,30863,20382,5073
292249,8221,11964,29858
961700,6215,1552,6631
300449,0,0,8649
845290,4840,4460,5620
901849,29100,24249,19358
720230,62697,72007,16209
520839,111,45,1634
880330,0,0,14739
950691,24702,10902,10078
90619,0,0,6171
902519,3106,2346,6566
40510,196575,212424,107801
690390,8779,4699,5260
300510,16774,15758,13729
870790,11876,8255,3998
560314,1275,774,6365
401011,5346,5092,5876
391740,10501,4308,8437
292910,132624,97513,8792
293729,13238,8586,7541
848410,17956,9015,7800
902830,650,5,6181
846799,4822,2188,4056
190190,14089,8086,20961
843120,3012,5070,4919
392490,7483,2352,11878
284161,4582,2347,
701911,10327,11625,9106
851230,2848,1327,5364
391239,6840,12902,11039
850450,1235,3102,1251
321590,1205,1820,9174
843999,3304,6000,3526
180400,21767,12201,17648
842890,4637,19134,17608
846599,30621,13739,4988
843810,27322,38746,26766
760719,13029,9052,11508
250410,6420,5698,6097
690919,44874,26022,4867
320990,6703,4101,6271
730793,10751,11311,12602
847330,32339,74990,74627
80430,20530,8267,8558
283699,10718,10349,7644
940592,3043,3071,8877
540769,75500,39776,9686
820730,4977,7122,17454
200949,9402,4099,7507
551612,0,0,14026
853630,13013,7684,10410
852729,26324,8987,589
580136,13,1,4297
842839,6072,12490,15636
121299,199,14602,21411
870590,1009,206,21264
600110,175,85,234
848250,5462,3645,7175
722540,54433,42834,1502
701337,10387,2726,13262
300320,33,0,16871
680421,14986,8943,8472
390190,15075,9202,14285
845229,24274,12358,4193
293712,6471,5926,1132
291570,41420,29017,11873
40410,6117,8602,13643
903281,5181,951,7567
293349,1641,2078,8834
902610,14986,14666,18775
294130,4429,3515,9218
851590,8313,7401,5398
841582,12360,3685,7894
240110,11658,4496,858
847439,24665,35969,10016
300640,19614,17637,23307
848050,5303,4656,5009
841350,11677,7533,8638
281820,234833,176674,20622
730729,3382,3055,2514
854419,2837,3859,6803
170219,4689,2440,5399
320300,10593,12081,8035
721510,961,2053,6371
480540,3352,3252,6042
848110,11762,11209,6716
381239,36952,39638,12187
292241,15801,14709,21761
731700,1810,1083,9274
