Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
871496,122446,131922,111117
550410,0,0,0
730799,93671,90214,124970
490199,175888,177316,166968
681099,133201,165655,169809
392410,121645,127331,126932
720293,221860,214958,198410
20230,104922,101886,106236
870421,251385,165095,210295
902610,72475,87521,108806
151190,137349,116623,92274
400239,314726,299211,192371
902519,49753,61233,58883
640411,102746,123455,143374
401110,143383,130391,133497
370790,143577,145079,133203
382319,285879,156631,104575
902140,115582,135915,134742
400122,91336,62525,92981
841869,133638,159216,122434
280461,231575,209547,130440
848230,87885,102195,122230
293590,0,145009,204047
640399,118538,149273,181062
160232,91706,101080,110350
846694,133240,146908,119705
330491,87856,122479,135825
270799,29676,30446,121632
940360,146307,149593,137218
220300,150077,139542,146074
854890,101224,151687,151741
848120,107770,103389,113153
390690,108581,122156,115501
711620,5801,21599,19733
340220,71812,75111,83446
330210,92127,103736,112297
390290,63529,101721,100889
850300,107149,117515,144489
860900,40804,91949,116910
880212,163007,69545,112681
721590,11642,106296,233105
903040,89594,90330,110083
380894,19593,22093,19694
170199,141416,114815,119681
911490,173172,168410,130779
900290,84996,118037,111232
950450,114735,128891,143820
621143,9596,9682,9039
850213,96891,168321,186345
760612,122311,157446,113733
848610,115808,93308,90953
848390,88429,134919,135964
730429,87193,113134,130999
750220,1946,3022,3564
820900,167452,182889,163893
848310,84747,133348,146620
40120,80265,87901,93957
390220,136966,142870,133220
740990,140124,147861,98625
841350,94023,135734,130474
940320,112003,127811,112806
340590,94252,111896,125671
854460,69919,109861,144076
845229,212581,268893,226241
391910,124307,110131,99613
841990,103082,107424,105719
940540,153577,169029,144324
910211,264964,249516,179017
852852,0,161834,152392
901380,103628,116536,116062
852380,126931,103781,109186
880390,19184,27472,18457
840890,103387,120787,105646
853649,106187,121113,105828
853120,200612,233791,204987
901590,127601,172113,139267
820740,10607,12153,12792
902230,136214,135952,122372
961900,71547,79958,83600
841290,101734,116244,101362
901390,92621,94807,90656
903290,379003,113852,97947
20130,84785,92945,88831
761090,95747,99232,111479
294190,108955,75186,96033
902131,109138,170168,169629
851761,22872,29855,132020
848220,78995,81094,108552
970300,99561,62379,37453
711719,129776,179396,188400
250590,459173,320405,17684
871493,88727,88241,93243
900211,111152,130357,213597
842121,71908,115970,77098
401519,23442,26853,28881
840991,105093,102362,105140
180690,60407,85204,95064
392321,76589,87485,90385
220890,48084,85250,86073
853340,64309,92091,81451
300220,33758,44475,72507
401699,99097,94172,93925
390730,120986,111242,96643
843139,80613,103764,112164
840810,148364,78454,86930
321519,168268,178625,216602
844339,112076,117751,101169
392190,111469,109394,94562
382100,39075,51480,67935
852349,150784,89947,85031
340399,106114,100450,100816
420299,95145,103905,123666
842123,47062,66184,89981
293379,8518,14070,31527
902110,65803,85864,93202
481820,74774,84424,83713
852550,88341,99899,80629
843131,81258,94906,104691
902710,55892,58316,64407
710691,102622,101497,87216
290531,17014,58406,52005
441520,76060,84702,84040
620342,76871,86220,90018
940690,0,56668,68013
846693,92810,107672,96578
850720,98133,76062,83236
291539,59885,60888,72352
121190,90866,97765,94656
902830,44885,104408,110607
392329,96907,87636,80268
390230,101562,137161,110853
391000,91223,100294,99187
841121,29090,125312,76317
841221,49314,75084,93440
722830,70708,76004,48797
190531,71368,81674,76953
711299,47114,21739,29314
230990,51972,54891,48252
330420,116854,157668,170158
848330,51158,81244,87193
640419,94372,121197,98933
293190,52583,67711,79766
853641,72044,55608,65012
853630,57057,72779,70998
732619,58489,73084,94842
841111,14025,12384,113853
420291,71526,103478,88918
40510,85646,113393,92146
70999,62487,67017,67206
940290,45121,69502,89985
330510,73599,75194,74941
853190,143970,101131,88229
481092,77441,98065,99821
160420,68760,70201,70119
852352,82906,108186,84013
902139,46792,54113,89516
220210,96651,104260,97971
611020,138387,132354,108151
731210,78251,95920,93718
842890,75831,93282,109076
701990,32176,47806,94960
392310,57962,71010,69816
320611,79227,84329,100807
842810,75272,69015,70245
340290,61611,72073,70034
851690,43267,61957,56510
190230,42205,54986,55820
391400,27281,33209,60215
100199,50336,60481,57039
280429,51840,58521,62539
481029,77004,42634,46096
240120,72948,55132,85903
640299,56218,64395,86081
841360,54770,77819,77407
481910,64632,74044,64571
841330,42158,84420,84619
390799,81010,75846,69781
300590,28982,36426,35890
210111,57099,64704,72287
850239,15779,48945,100221
853590,138636,156336,113353
491199,82310,92165,60621
330590,51449,61808,68005
901490,45793,47294,73545
291521,0,0,0
910111,58643,60070,92796
80810,61415,61014,65151
381190,36598,71298,88928
611490,116688,108123,118311
330129,60402,61491,59050
870810,140756,94865,71804
30617,68049,70136,74528
611710,7567,11506,11390
871200,48128,31672,32778
843039,37093,27786,112094
870830,58603,39142,41693
760120,15889,14194,53172
293299,50372,65530,67203
350610,59130,78560,57985
190190,71265,83436,73692
300439,39396,56195,55249
760711,56126,67623,59277
40630,54953,55546,56633
848130,57706,66231,68158
610990,99237,98695,91182
848420,51978,74180,64369
740311,531873,161377,73655
852610,50209,62468,70601
151521,24847,12272,31543
851660,46399,54056,53474
320416,82483,84859,80731
300219,0,84915,40368
851590,60845,55767,59747
853329,65254,77650,66368
850431,46956,56860,71854
330290,54685,50367,59396
40410,58951,62551,63226
220870,53196,38423,33414
820790,68272,67014,63647
340213,62992,56395,63095
330720,65141,58998,64804
848299,80211,82763,62128
350691,55761,69782,76177
902000,27749,39149,49182
847950,68819,72668,65958
902990,10835,31563,27473
720852,34864,65136,58659
390190,638957,413908,68234
392062,62749,68999,55594
390330,46046,75966,76650
271112,55303,157756,209876
481920,35209,45722,53197
710391,57420,27877,95664
848110,58824,62907,60735
392350,62593,63576,67496
842952,30147,53111,41183
730840,57962,57540,70157
300290,27079,38018,46461
880310,23372,42890,52231
732599,43197,70725,82781
482390,68051,74422,72404
151590,27387,36123,47679
854411,60010,62413,55613
