Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
842911,21768,42915,123143
220210,40412,53604,74608
854442,59952,74805,88894
200290,84308,85743,86457
870850,54509,31624,52230
860310,14140,100673,271458
847180,110466,58013,93309
721012,77740,109099,92312
730900,64223,131389,81864
732393,48347,60335,81627
401693,47365,57687,72161
842129,73937,96944,83193
300230,90626,79769,84858
841410,69445,42655,74439
640411,74038,64016,77377
440721,114605,133652,95265
902620,69376,68912,79017
853620,87780,72407,72032
390190,91538,112320,113485
853521,61771,84810,64115
80610,66945,67558,69623
490199,65538,85334,81805
170199,307727,156256,86935
853529,180410,103563,72064
841330,62746,39574,54949
842720,67668,63447,85591
261400,109416,120082,113441
840890,37593,58587,78683
940600,150210,72773,54916
210500,88748,89002,83390
401699,36008,36951,56592
940290,45093,70012,72719
330720,73890,82213,87020
841451,24449,20608,41685
854460,139644,149654,112879
854470,75799,94074,96545
610832,16599,15168,21465
190410,79203,77806,75292
950691,54261,60438,63887
100620,46825,71321,75552
330790,50545,53907,53006
210111,31263,38812,99541
852351,30484,48669,72881
730300,102237,65469,89285
870290,163446,106068,215300
730799,175093,189649,141654
392350,76412,94005,98398
940340,63366,63168,75658
847290,81672,56146,102475
721030,22781,28913,45318
80520,41279,53851,51931
401199,57938,29096,21922
10229,0,0,4429
190219,48091,45790,63069
842139,114092,114705,130627
90121,21181,30874,52949
850423,285881,94630,107104
180690,118515,130059,98219
901831,44269,61584,62778
847160,40742,60120,68826
830990,38714,50449,60830
381220,36814,56243,70325
902610,81108,115532,104343
841850,99687,75612,69840
80251,36464,59389,65711
902139,48561,73766,98031
190120,51907,64941,59220
180631,120021,111120,116283
440791,18719,37671,50900
40590,77005,84189,78807
610990,108933,92741,115802
870530,61279,20843,17187
160100,96986,103314,59441
120740,50180,70629,108569
291736,60895,36429,24954
691110,61678,76382,94569
850490,94656,74675,84274
220290,73292,42794,45794
230660,21064,57326,43651
121190,19576,36099,52512
853720,204005,70477,87295
903180,74227,83929,95710
821210,57544,55452,57015
390410,82547,59450,52245
850720,50597,71308,72575
340213,30312,45092,30425
940520,42346,51702,32780
251110,80727,102415,66641
691010,41956,37771,54714
621710,20112,23032,34930
760410,44600,38888,45498
730791,91566,83057,60345
844331,65038,70871,82676
620462,68463,70103,116609
851671,36504,45345,46021
848130,79325,86442,105581
910211,126337,170101,114398
382440,56092,69739,90368
730431,16763,21273,26977
300310,9262,1980,8775
854231,15708,23109,30083
730423,14398,82464,46047
392190,73458,77316,67855
940330,65525,80843,88257
621133,100357,80611,86787
851220,13083,15122,27158
392490,42511,39228,62577
440290,64993,72627,75682
200990,68536,61921,51829
391810,39097,34589,40073
841319,39697,30174,52064
620443,69157,76842,72129
841280,5841,5769,4535
420221,83138,102506,87996
20220,75588,58466,49594
392010,54649,57640,64421
390210,62554,57550,57930
851769,53588,39972,38268
853669,44800,48414,45875
761699,47174,44013,53725
110100,129722,56623,59186
392062,29532,55323,59767
902750,30207,28411,55129
842952,4501,8045,21843
730424,5770,10041,66152
230230,20538,41808,37887
30617,45959,46702,53015
