Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
843810,2822,6347,3780
151190,98,25466,20705
930190,80,60,31
870830,19337,19633,18998
420212,33171,34713,38726
901420,2001,10,946
392330,13104,15921,12996
730511,90839,104522,40354
80450,22501,18605,23112
620462,17949,18573,15118
481810,15497,22570,26203
760692,10580,23766,41439
80550,26475,21009,22169
220110,20771,18772,20573
870880,18568,17096,23605
847290,13856,10602,15289
842121,75469,64778,33777
480890,6830,6506,1892
151219,14068,19821,17863
841981,14256,18293,17260
300610,11689,14427,16330
854390,4052,7286,3996
760519,22442,14963,13599
847330,38323,20814,23233
870333,0,0,2008
610462,14441,18803,16694
730629,3117,3046,31011
901849,16620,13141,18900
732399,12546,15204,16983
121490,6803,5610,9584
610342,18692,21054,19943
961700,8849,10894,9099
970600,144,4232,4083
480300,20362,30148,24294
902750,17751,19231,7330
940370,5896,7218,6176
690722,9136,12171,13633
841590,30335,43214,29253
847490,13598,11631,14963
847180,13509,13958,9309
20711,8052,380,8480
620342,37364,32078,31821
382440,41006,43981,39706
390319,11191,8316,7794
440290,21840,20971,20331
850610,6160,5742,6782
845011,18255,16228,18334
630140,20716,24768,18785
950699,10131,10238,14459
871200,5513,5412,4345
481820,11972,10989,16248
391740,55029,21768,15502
330510,47803,55261,50904
300432,41947,42639,62922
481940,7063,9557,9943
851660,11523,13794,16299
848110,13060,22038,39412
640359,30837,28211,25665
420291,4637,6266,4919
701349,4990,5378,5083
720449,14,19,51
401519,4168,5260,4887
701090,5792,7025,8624
847170,32621,29267,22033
843149,74791,54192,93170
20442,17730,14607,10120
843041,84176,12880,82940
761699,15728,13292,16824
420292,14948,17865,18452
420222,30985,39148,46822
760612,33752,38807,27429
851220,13286,13852,13006
200819,9079,12154,12507
902710,18748,13506,16313
901590,49552,46945,30295
902620,29240,30535,19461
870810,15075,14882,16333
680293,9577,12427,12999
160239,9678,8722,12031
300590,9637,16914,14348
481092,7196,3994,4970
401693,22470,23876,21736
850940,16771,20377,18236
30389,4696,5608,6119
390761,16327,36388,17563
842641,35895,17935,15228
281820,13022,13256,18769
381512,27433,23102,24987
392350,11189,12944,11213
282570,9136,15091,14657
902790,32768,24784,23173
80212,15748,16880,20182
121300,30179,32082,26521
321410,20568,24017,25394
481019,21622,26003,17888
381590,25903,25617,15330
720836,539,59587,40048
842123,20442,20299,21001
760711,11712,10946,13659
610432,2182,2177,1490
841990,38731,20259,12014
390110,31032,25390,22874
81340,3136,3135,2361
40299,20402,37873,32150
290220,76245,113251,108841
730799,74563,48343,29473
392010,15165,16564,11696
230910,9703,13077,12249
71080,5352,4504,4181
701990,25227,48727,29163
480256,9392,8547,20201
902139,8282,10720,10678
741300,7042,5372,6104
850423,5520,28067,44967
360200,12518,6333,5925
60311,18956,19439,19509
190120,18757,22317,15981
940389,6153,8339,8872
200599,21974,20807,50046
842139,111675,40897,52487
902214,16780,19152,8325
902610,53028,47590,30159
720990,28778,30550,16891
848340,7226,8372,7116
80610,17375,20994,27788
392321,12052,14186,11493
200570,9123,7644,8413
610413,647,936,526
680292,2042,2819,5422
620442,18835,18062,20289
902190,14669,22480,16055
300450,13093,15994,41559
730830,39792,78036,19870
20443,9873,8225,5924
940310,24454,19383,19024
841690,16635,4731,3272
841950,158367,110952,29376
840999,14622,13250,13634
382450,11670,21866,12635
940690,66864,40488,44558
902290,6972,13668,8948
210112,26119,10549,31013
731021,6477,6260,11194
621142,4453,4983,4462
840991,17965,13821,15063
610990,24685,26883,35875
350691,10730,12013,10726
830242,5412,7668,6118
540761,12291,10940,11227
841821,18759,20994,18998
890399,12908,10719,13447
843139,21165,32261,23057
720839,9593,27202,11550
850152,10685,11897,9774
40620,22510,20773,14450
851830,25364,52997,56122
300449,8611,10533,17561
482390,10348,10295,10484
600632,3349,4159,3267
940340,13840,14588,16200
160250,5071,4067,3788
20421,25021,34874,5178
551511,10384,9953,9885
842720,28032,29078,13406
853669,14449,10758,11690
210500,19317,23280,23084
902680,24279,19656,10737
200799,8614,7558,7477
730661,19032,11416,10886
151620,6964,10336,8276
20422,2801,5296,4950
852852,21843,16074,13883
871680,5986,7271,6180
81010,20640,23922,24151
210320,19592,18538,18323
842489,5956,7363,3510
610832,9140,8743,6825
482369,10522,10379,11652
340130,22198,24988,21427
850212,32811,20483,14544
841582,63748,63611,39996
481920,31954,13944,12831
852691,3529,2693,4229
390190,7043,6620,14122
940421,21563,20862,20739
300410,18239,13388,16197
250100,10344,10209,10031
853650,13252,12265,11310
730791,53072,25436,30580
721934,6205,7722,8686
30289,3875,6706,7413
721720,9226,9437,5775
852859,15681,15549,21675
960390,5204,6391,6071
300220,21040,26653,19543
850720,18834,13366,13245
850240,116,267,1804
851610,21278,14290,13815
851679,11162,15607,11716
852352,22916,6194,15326
930630,1100,2438,5284
853530,14429,35721,33040
841360,40746,9202,9411
441113,6778,5729,4614
380991,18393,19266,20242
330610,28616,27350,29854
840690,18493,28551,13193
330749,11369,11257,12018
853950,4981,7747,7581
821210,9305,8412,9953
940180,7438,7831,9426
81090,26318,28543,31241
621132,6607,7743,4649
391810,6608,7555,7457
20713,12484,2706,10801
853620,38812,36200,31150
680990,9862,8281,9987
611120,27695,32627,28231
902150,3721,4290,5044
851629,6324,5455,7351
391290,2099,946,6123
841381,30157,33303,24008
150910,11931,16176,15282
901813,16578,21110,13851
620343,7653,8705,9554
321290,7943,4017,2833
680210,4897,3045,2448
850760,5852,9706,7510
81020,12732,14706,23759
200520,2474,3789,4705
701399,6757,6501,9894
850140,8460,11113,8080
610831,9315,9370,9665
845020,7603,8077,6206
70700,2238,4031,3444
290371,6251,7380,8245
722870,10652,8219,10019
902110,8971,19856,27305
901580,19568,20485,9798
392640,5423,4433,5682
711719,21174,15008,17891
701337,4571,4935,4497
740710,8598,12887,8585
392329,9068,9490,10513
901910,4787,5700,5133
848330,8150,8847,8951
120991,5049,5262,5419
621143,6075,6769,7120
80711,22485,21132,28229
481730,3064,17059,10997
610463,8837,9193,9134
841350,81302,24044,28652
570500,2720,1677,1985
551614,506,678,765
470321,3902,4302,4000
190230,1672,2124,4041
40150,12025,11039,11726
80930,10771,9598,15277
700490,5262,11715,6844
620640,18038,18479,15139
60290,5833,6060,6066
620463,8012,9068,7594
841330,9009,8346,9734
151790,17529,9316,6693
902820,749,430,3498
760429,18993,23054,18437
670210,4127,5467,5888
160232,8830,14105,21917
730840,83243,85884,39262
700319,897,1379,1221
901510,711,3388,13594
200190,13628,13849,14862
902690,14801,28394,11164
850730,17514,15354,11324
902129,4162,5265,7006
392590,9935,10302,7977
381190,19222,32244,13092
851671,8426,12446,9521
392043,5098,6013,9079
620192,1128,1857,1469
731100,30241,25919,18659
490199,18015,19283,18089
850211,18858,12066,6948
850450,660,3255,4921
847050,3641,5365,6763
830140,8712,9317,8834
30244,4438,5627,4727
481830,18848,10979,5979
381400,12436,12590,13133
870390,0,290,329
720851,31802,45108,34125
841451,7163,7445,6694
340120,11655,12012,12659
230230,31,60,23
30214,2317,661,2900
847160,19483,12836,15188
392390,10030,16653,14356
847982,25175,7708,6876
391722,10766,10626,5970
848420,14838,14176,19020
853649,17832,20023,22132
100119,56122,21465,19
841989,118893,63546,22173
70320,11571,9471,14560
80232,6076,6272,3464
850490,21082,20503,15833
620432,5615,4174,4910
620449,14536,14844,12091
940599,11745,9080,7239
151000,3476,4517,4595
760421,10039,8766,8789
330420,22422,27931,25470
900410,21196,23958,21859
841840,4470,6664,6665
940179,4874,6525,5458
240311,6100,6685,8151
630260,5451,4865,6457
392051,6148,6926,7638
441294,13765,9286,9668
611490,1414,1620,2290
621149,2903,3036,3459
730630,19675,19754,12620
902519,9048,7426,9823
841290,11272,13774,13367
842410,11723,15935,14675
491199,7460,4648,3008
621210,17225,20250,19951
290511,3053,1737,652
841899,13311,10222,10998
880320,705,118,253
630622,1500,2004,1231
480421,7743,11452,13728
600192,3068,4828,3515
441011,3132,4793,4727
902212,11477,12627,2522
842951,35432,41226,23889
283620,5463,6348,6382
760720,8652,8448,7404
70410,6832,7517,7017
848410,14553,11471,14721
380891,1923,2475,3008
730449,2432,2646,9665
842240,7388,4496,3317
620444,9078,8545,7331
291612,262,273,6052
320611,7980,8175,6407
490700,11902,14754,8436
910129,2805,5757,9629
70610,10933,12963,12636
901390,5262,861,1216
280610,947,2991,6578
730793,40444,17473,24148
850300,17073,13252,13483
722611,5148,7934,4512
721030,7821,11264,10815
830629,3326,2878,4422
842230,8847,4686,3573
720852,12923,25296,9584
848120,6889,3619,3205
940520,5502,4808,5664
940190,5701,7100,5077
761490,265,1743,7655
681099,2442,9460,6593
760611,6949,10946,11608
290339,5366,5511,7211
350699,9738,8972,6772
901812,8418,10364,7345
620433,8309,6588,6054
511211,7301,5313,3486
940429,6982,11705,8959
731819,7374,8709,8999
730719,12097,20610,17304
620292,1766,2119,2430
391721,10549,21263,24190
271012,103,202,52
700721,4282,4471,7049
731290,3231,3782,4758
310490,128,12,62
481032,4813,8205,6086
831110,12772,13988,9932
630629,5090,2552,3492
620520,18094,20470,17830
391910,7085,8041,6580
70951,8984,61853,9277
620630,12744,12116,10138
210111,12720,29148,6255
732490,10267,8157,5370
610332,3130,2443,2088
700992,7011,7027,6329
121190,5516,10351,13266
848390,7523,7748,8809
844900,1,0,450
853110,12594,13045,10499
