Code,Imported value in 2017,Imported value in 2018,Imported value in 2019
841989,85056,98584,133927
842810,187866,189110,190958
940540,152989,146337,146191
760421,277043,569720,246548
330499,93390,125025,149205
400220,162547,156692,166675
40221,148974,170917,130024
870850,233906,132435,157405
410419,336858,258131,235358
871410,119870,131600,139824
580790,191275,170394,170736
940390,17582,19062,76283
391000,135039,163219,170252
390319,155744,173286,143583
870120,204959,18500,134699
841459,113705,130227,136606
840991,110952,129987,158829
80132,50689,93560,123638
902780,133106,139738,163290
321519,134800,132238,153920
961900,59803,79914,113159
80810,66842,83712,125445
841182,601,20872,14262
850519,110740,106255,100038
842959,197952,162210,155991
120242,21765,39635,105050
844900,9972,13770,35724
600192,85273,97905,164877
380893,240898,187678,200673
300230,95038,129331,115653
560394,136496,155654,154245
845611,0,147462,181849
850431,75172,88822,110164
848340,120503,126274,141191
580890,138642,155646,150922
580410,181895,163010,155325
520939,162170,211738,201261
845229,197171,241256,244643
320417,105766,115769,133282
540247,133512,198858,201720
830249,72126,74432,87977
840790,18949,20064,26798
520942,76221,120739,145696
853620,120950,121159,124418
381239,0,112177,116810
854150,90384,106270,117222
840810,145400,116846,119835
841939,128359,122538,115765
392390,100688,95932,119690
842199,101089,109583,120740
30342,146087,118882,166304
560312,54707,74855,79569
845011,158133,168978,144414
741021,106537,94177,99340
390791,112086,129488,128014
392049,82354,81709,90956
30743,0,97036,131932
903190,79627,98755,137778
10392,0,0,0
30354,68762,89490,131502
310520,139003,138973,134403
381700,117759,129888,108746
854420,84845,100911,116009
902190,99637,108965,136440
830890,107031,150351,162438
853720,90599,128626,125986
842121,85599,97608,142485
854430,94603,140271,133030
842240,140051,141360,169211
380991,90019,109530,110429
521142,64777,79846,118452
852852,0,126776,143092
722790,132031,148252,160007
851761,532660,160645,199759
392310,126752,116722,118760
590310,88966,109848,121749
220299,0,89151,115869
847420,114500,87378,64252
410712,22409,18933,92852
320411,95725,131973,145791
848190,109408,84370,102495
790120,102177,118471,120827
300432,40134,51635,90132
870590,147190,100774,165273
760429,415789,724009,121636
551299,161604,241540,167403
281122,78933,95566,103388
850680,85496,91387,81271
310221,131996,137126,121989
731822,118683,131436,119160
71331,56468,55553,81032
540792,72190,94320,121908
440791,96669,131227,122727
480256,117447,126866,113544
300410,93211,92946,110896
851580,62202,84432,96794
722830,94652,149937,114617
292242,112475,91459,111052
760200,38331,44419,73254
854160,56689,54048,64934
870894,64610,84336,110720
870423,303292,24607,92818
903082,23373,21275,73920
850980,48538,62847,86408
721391,259715,275549,251415
590700,74055,87214,123822
190190,75305,134519,146490
841430,125573,117162,116912
481910,87598,59952,90007
392350,87601,92750,97258
441233,0,22985,61469
721912,87505,120125,121666
721934,98242,103718,109002
390311,105454,132862,121920
830210,32250,37808,50698
401110,92369,110733,121908
841869,85850,105528,117568
100610,21152,21477,16842
520839,99608,97346,107813
283620,116702,139620,152326
847982,130727,154015,121764
940510,72332,90811,102602
540219,103685,138468,119798
20649,25768,41141,78288
482390,60296,76632,101020
890120,36210,61619,27510
850213,133574,122458,111415
830810,93005,106124,108737
845290,80351,111981,111896
551599,236732,247681,166469
844332,128990,97087,110782
722591,50507,78998,78550
847720,85404,94212,124230
260112,8375,12994,9286
391590,48757,89282,109133
392119,77379,87330,99777
853321,32172,82921,77617
293040,75521,78017,72765
950300,57666,67699,89594
441114,85312,73172,88568
830990,104167,101442,97453
390931,0,93658,91677
540741,131838,160072,172564
732619,77012,98755,100759
551511,70834,98725,114136
842952,117087,93174,102463
30341,34285,26342,42796
340213,80112,84766,84061
300439,65908,78165,86565
80610,58576,77248,102307
790112,114528,135503,92230
600522,104479,121393,113225
470321,62748,89680,88451
290230,85148,124143,114818
722100,70266,104306,94092
681510,31727,34756,68680
870830,59057,93878,88373
390422,56637,68175,86800
848640,74981,83235,131323
230230,121803,103065,101269
852352,60714,80378,93260
850423,54527,77128,94519
340220,59958,78432,98263
721933,130729,137018,108453
481141,77935,94105,101754
300450,112369,89635,82254
481920,56084,45351,54449
842230,143219,180444,135692
381400,84948,111352,110111
600642,93368,76468,79778
392321,63724,72258,80133
350790,84707,81498,88201
841122,233,34953,37118
841950,69618,85782,65471
220210,42641,78540,70311
853340,98546,94771,90746
560393,44534,48221,64249
560311,36334,36799,37341
841582,97149,80102,86993
960720,77828,99476,109461
400251,34350,52739,53511
680293,49744,65462,82082
740400,7682,1225,15133
800300,59414,55086,72915
540772,79096,81487,107848
290250,100150,123336,111617
321410,63328,88829,90285
392329,61990,70151,82591
846249,64402,85345,77312
481950,120778,105704,90505
290539,120147,149337,123329
870895,35755,56340,69975
820810,67615,88814,87127
630790,18446,24658,48202
381519,32405,48875,70300
853649,89400,95481,100250
